StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       28,      01,   199401,   5.61,   19.9,   1.59,   1.59,   2.39,   1.59,      0,   1398,   1.38,   1.18,      1,    .89,   -.29,    .32,    .05,   10.5,   29.3,
       28,      01,   199402,   3.19,   24.9,   1.55,   1.55,    .35,   1.55,      0,   1123,    .26,    1.2,    1.1,   1.28,     .2,    .35,    .15,   14.6,   35.3,
       28,      01,   199403,   5.89,     36,   2.16,   2.16,   2.31,   2.16,      0,    899,   1.24,   1.06,   1.63,   1.23,    .69,     .3,    .34,   26.7,   45.3,
       28,      01,   199404,   3.34,   51.4,   1.58,   1.58,  -1.07,   1.03,      0,    408,   -.19,    .69,    .63,   1.04,   1.01,   -.05,     .4,   38.8,     64,
       28,      01,   199405,   3.74,   57.5,   1.29,   1.29,   -.39,    .52,     10,    242,   -.04,   -.23,     .5,      1,   1.21,     .3,     .4,   44.5,   70.4,
       28,      01,   199406,   5.36,   70.5,   1.52,   1.52,   1.09,   1.17,    171,      6,    .78,    .47,    .21,   1.15,   1.02,     .6,    .41,   58.6,   82.3,
       28,      01,   199407,    4.6,     75,   1.34,   1.34,   -.07,    .91,    310,      0,    .05,    .46,    .27,    .58,    .94,    .93,    .38,   64.5,   85.5,
       28,      01,   199408,   5.84,   68.7,   1.71,   1.71,   1.54,   1.71,    132,     17,    .72,    .47,    .67,    .75,   1.13,   1.23,    .56,   57.9,   79.5,
       28,      01,   199409,   3.04,   62.6,   -.19,   1.35,   -.56,      1,     30,    102,   -.29,    .23,    .17,     .2,    .85,    .81,    .48,   51.8,   73.5,
       28,      01,   199410,   1.31,   51.1,    -.7,    .68,   -1.6,   -.52,      0,    431,   -1.3,  -1.21,   -.43,   -.17,    .11,     .5,    .47,   38.2,   64.1,
       28,      01,   199411,   4.28,   46.5,   -.64,    .59,   -.05,   -.59,      0,    555,    .46,   -.53,   -.75,    .03,    .18,    .61,    .29,   35.7,   57.3,
       28,      01,   199412,   2.68,   36.3,   -.91,   -.91,  -1.01,   -.91,      0,    890,   -.61,   -.14,   -.85,   -.49,   -.28,    .38,    .13,   26.4,   46.3,
       28,      01,   199501,   3.49,   32.9,   -.79,   -.79,     .1,   -.79,      0,    995,    .21,   -.35,   -.03,   -.48,    -.2,    .06,    .21,   25.4,   40.5,
       28,      01,   199502,   2.38,   26.3,   -.95,   -.95,   -.72,   -.95,      0,   1084,   -.41,   -.26,   -.58,  -1.05,   -.28,   -.07,    .14,   16.2,   36.4,
       28,      01,   199503,   2.21,   41.7,  -1.58,  -1.58,  -2.19,  -1.58,      0,    722,  -1.06,  -1.21,   -.92,  -1.31,   -.87,   -.64,   -.22,   30.8,   52.7,
       28,      01,   199504,   1.97,   47.6,  -2.08,  -2.08,     -2,  -2.08,      0,    522,  -1.33,  -1.79,  -1.68,  -1.13,  -1.17,   -.85,   -.55,   35.2,   59.9,
       28,      01,   199505,    3.2,   57.3,  -2.15,  -2.15,   -.85,  -2.15,      9,    248,   -.35,  -1.21,  -1.76,  -1.71,  -1.72,   -.93,   -.42,   46.1,   68.4,
       28,      01,   199506,   2.13,   68.4,  -2.62,  -2.62,  -2.07,  -2.62,    118,     16,  -1.24,  -1.13,  -1.75,     -2,  -2.11,  -1.41,   -.49,   57.3,   79.6,
       28,      01,   199507,   4.76,   74.3,  -2.48,  -2.48,   -.39,  -2.48,    288,      0,    .13,   -.62,   -.74,  -1.71,  -1.38,  -1.33,   -.25,   63.6,   84.9,
